iter	Passed	Remaining
705	5650	2352
706	5674	2351
707	5683	2344
708	5698	2338
709	5708	2331
710	5715	2323
711	5722	2314
712	5727	2305
713	5735	2297
714	5738	2287
715	5739	2276
716	5741	2266
717	5744	2256
718	5746	2245
719	5748	2235
720	5750	2225
721	5751	2214
722	5752	2203
723	5754	2193
724	5756	2183
725	5758	2173
726	5774	2168
727	5791	2163
728	5793	2153
729	5802	2146
730	5804	2136
731	5812	2127
732	5820	2120
733	5832	2113
734	5836	2104
735	5838	2094
736	5841	2084
737	5843	2074
738	5845	2064
739	5847	2054
740	5849	2044
741	5851	2034
742	5853	2024
743	5855	2014
744	5857	2004
745	5863	1996
746	5870	1988
747	5874	1979
748	5877	1969
749	5885	1961
750	5892	1953
751	5908	1948
752	5915	1940
753	5926	1933
754	5931	1924
755	5933	1914
756	5935	1905
757	5937	1895
758	5938	1885
759	5940	1876
760	5942	1866
761	5944	1856
762	5946	1847
763	5948	1837
764	5950	1827
765	5952	1818
766	5953	1808
767	5955	1799
768	5957	1789
769	5961	1780
770	5971	1773
771	5974	1764
772	5978	1755
773	5984	1747
774	5992	1739
775	5998	1731
776	6001	1722
777	6006	1713
778	6011	1705
779	6032	1701
780	6035	1692
781	6037	1683
782	6039	1673
783	6040	1664
784	6042	1654
785	6044	1645
786	6045	1636
787	6047	1626
788	6048	1617
789	6050	1608
790	6051	1598
791	6052	1589
792	6054	1580
793	6056	1571
794	6057	1562
795	6059	1552
796	6060	1543
797	6061	1534
798	6067	1526
799	6075	1518
800	6080	1510
801	6087	1502
802	6093	1495
803	6100	1487
804	6107	1479
805	6115	1471
806	6121	1463
807	6128	1456
808	6138	1449
809	6144	1441
810	6146	1432
811	6153	1424
812	6159	1416
813	6168	1409
814	6175	1401
815	6182	1394
816	6189	1386
817	6195	1378
818	6196	1369
819	6197	1360
820	6199	1351
821	6200	1342
822	6202	1333
823	6203	1325
824	6204	1316
825	6206	1307
826	6207	1298
827	6209	1289
828	6211	1281
829	6212	1272
830	6213	1263
831	6215	1255
832	6217	1246
833	6222	1238
834	6228	1230
835	6239	1223
836	6248	1216
837	6263	1210
838	6270	1203
839	6275	1195
840	6284	1188
841	6290	1180
842	6302	1173
843	6309	1166
844	6321	1159
845	6323	1151
846	6334	1144
847	6340	1136
848	6351	1129
849	6358	1122
850	6370	1115
851	6376	1107
852	6383	1100
853	6392	1092
854	6399	1085
855	6407	1077
856	6413	1070
857	6421	1062
858	6426	1054
859	6432	1047
860	6441	1039
861	6452	1033
862	6464	1026
863	6472	1018
864	6489	1012
865	6498	1005
866	6509	998
867	6524	992
868	6529	984
869	6537	976
870	6546	969
871	6549	961
872	6555	953
873	6560	945
874	6566	938
875	6574	930
876	6582	923
877	6590	915
878	6605	909
879	6612	901
880	6619	894
881	6627	886
882	6643	880
883	6651	872
884	6656	864
885	6663	857
886	6672	850
887	6679	842
888	6680	834
889	6686	826
890	6699	819
891	6706	811
892	6714	804
893	6721	796
894	6727	789
895	6729	781
896	6731	772
897	6733	764
898	6735	756
899	6737	748
900	6738	740
901	6739	732
902	6741	724
903	6742	716
904	6743	707
905	6745	699
906	6746	691
907	6747	683
908	6749	675
909	6751	667
910	6753	659
911	6754	651
912	6756	643
913	6757	635
914	6759	627
915	6761	620
916	6762	612
917	6764	604
918	6766	596
919	6767	588
920	6769	580
921	6771	572
922	6772	564
923	6774	557
924	6776	549
925	6777	541
926	6778	533
927	6781	526
928	6787	518
929	6793	511
930	6803	504
931	6810	496
932	6827	490
933	6836	483
934	6850	476
935	6869	469
936	6874	462
937	6875	454
938	6877	446
939	6879	439
940	6882	431
941	6884	423
942	6886	416
